Book Name,Author,Rating,Customers_Rated,Price
Unfinished: A Memoir,Priyanka Chopra Jonas,4.1 out of 5 stars,13,₹ 531.00
Spoken English Course (Telugu),Vashista 360,4.8 out of 5 stars,8,₹ 399.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"8,366",₹ 300.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"13,814",₹ 429.00
The Psychology of Money,Morgan Housel,4.5 out of 5 stars,"4,541",₹ 285.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"37,310",₹ 359.10
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"7,488",₹ 443.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"2,428",₹ 319.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"44,358",₹ 189.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"7,655",₹ 169.00
"What I Love About You and Our Memories: A Fill-in-the-Blank Gift for Valentines Day, Birthday, Anniversary Gifts for…",Sanjay D,4.7 out of 5 stars,188,₹ 259.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"8,096",₹ 300.00
One Arranged Murder,Chetan Bhagat,4.2 out of 5 stars,"4,550",₹ 123.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"15,580",₹ 152.00
Grandma's Bag of Stories,Sudha Murty,4.6 out of 5 stars,"3,005",₹ 189.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"5,657",₹ 158.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"5,263",₹ 183.00
NTA UGC NET/SET/JRF: Teaching & Research Aptitude Paper 1 | By Pearson,KVS Madaan,4.4 out of 5 stars,464,₹ 304.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"2,655",₹ 205.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"12,526",₹ 559.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.6 out of 5 stars,"1,365",₹ 108.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"4,775",₹ 698.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.4 out of 5 stars,226,₹ 403.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"2,549",₹ 127.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"23,962",₹ 159.00
A Modern Approach to Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"3,191",₹ 570.00
Manorama English Yearbook 2021,Mammen Mathew,4.6 out of 5 stars,91,₹ 285.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.7 out of 5 stars,366,₹ 538.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.4 out of 5 stars,"8,631",₹ 210.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"4,977",₹ 210.00
Future Generali Annual Report 19-20: A World of Team FG,Future Generali India Insurance,4.9 out of 5 stars,39,₹ 199.00
My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),Wonder House Books,4.5 out of 5 stars,"2,898",₹ 119.00
